source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.facebook.com,HTTP/1.0,32,0,366,2,0.000476,0.000053,0.000016
192.168.0.1,www.facebook.com,HTTP/1.1,32,33,3453,2,0.000486,0.000051,0.000791
192.168.0.1,www.facebook.com,HTTP/1.0,33,0,366,2,0.000442,0.000042,0.000043
192.168.0.1,www.facebook.com,HTTP/1.1,33,31,3453,2,0.000438,0.000101,0.000159
192.168.0.1,www.facebook.com,HTTP/1.0,34,0,366,2,0.000421,0.000050,0.000015
192.168.0.1,www.facebook.com,HTTP/1.1,34,35,3453,2,0.000465,0.000057,0.000130
192.168.0.1,www.facebook.com,HTTP/1.0,35,0,366,2,0.000445,0.000046,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,35,35,3453,2,0.000440,0.000051,0.000109
192.168.0.1,www.facebook.com,HTTP/1.0,36,0,366,2,0.000447,0.000059,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,36,37,3453,2,0.000415,0.000050,0.000126
192.168.0.1,www.facebook.com,HTTP/1.0,37,0,366,2,0.000474,0.000053,0.000015
192.168.0.1,www.facebook.com,HTTP/1.1,37,34,3453,2,0.000465,0.000060,0.000126
192.168.0.1,www.facebook.com,HTTP/1.0,38,0,366,2,0.000475,0.000100,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,38,36,3453,2,0.000424,0.000067,0.000083
192.168.0.1,www.facebook.com,HTTP/1.0,39,0,366,2,0.000454,0.000043,0.000015
192.168.0.1,www.facebook.com,HTTP/1.1,39,34,3453,2,0.000461,0.000099,0.000114
192.168.0.1,www.facebook.com,HTTP/1.0,40,0,366,2,0.000454,0.000059,0.000014
192.168.0.1,www.facebook.com,HTTP/1.1,40,36,3453,2,0.000472,0.000084,0.000121
192.168.0.1,www.facebook.com,HTTP/1.0,41,0,366,2,0.000431,0.000045,0.000014
192.168.0.1,www.facebook.com,HTTP/1.1,41,37,3453,3,0.000410,0.000044,0.000067
192.168.0.1,www.facebook.com,HTTP/1.0,42,0,366,2,0.000399,0.000072,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,42,34,3453,2,0.000464,0.000052,0.000107
192.168.0.1,www.facebook.com,HTTP/1.0,43,0,366,2,0.000440,0.000044,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,43,36,3453,2,0.000425,0.000066,0.000104
192.168.0.1,www.facebook.com,HTTP/1.0,44,0,366,2,0.000406,0.000326,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,44,34,3453,2,0.000421,0.000052,0.000098
192.168.0.1,www.facebook.com,HTTP/1.0,45,0,366,2,0.000390,0.000041,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,45,36,3453,2,0.000401,0.000050,0.000118
192.168.0.1,www.facebook.com,HTTP/1.0,46,0,366,2,0.000439,0.000081,0.000015
192.168.0.1,www.facebook.com,HTTP/1.1,46,35,3453,2,0.000446,0.000047,0.000098
192.168.0.1,www.facebook.com,HTTP/1.0,47,0,366,2,0.000447,0.000058,0.000014
192.168.0.1,www.facebook.com,HTTP/1.1,47,36,3453,2,0.000460,0.000071,0.000104
192.168.0.1,www.facebook.com,HTTP/1.0,48,0,366,2,0.000414,0.000043,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,48,37,3453,2,0.000476,0.000053,0.000114
192.168.0.1,www.facebook.com,HTTP/1.0,49,0,366,2,0.000467,0.000052,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,49,37,3453,2,0.000434,0.000047,0.000137
192.168.0.1,www.facebook.com,HTTP/1.0,50,0,366,2,0.000441,0.000049,0.000014
192.168.0.1,www.facebook.com,HTTP/1.1,50,35,3453,2,0.000438,0.000049,0.000112
192.168.0.1,www.facebook.com,HTTP/1.0,51,0,366,2,0.000462,0.000049,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,51,39,3453,2,0.000427,0.000084,0.000104
192.168.0.1,www.facebook.com,HTTP/1.0,52,0,366,2,0.000418,0.000043,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,52,35,3453,2,0.000430,0.000053,0.000113
192.168.0.1,www.facebook.com,HTTP/1.0,53,0,366,2,0.000438,0.000056,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,53,40,3453,2,0.000468,0.000052,0.000087
192.168.0.1,www.facebook.com,HTTP/1.0,54,0,366,2,0.000446,0.000056,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,54,38,3453,2,0.000461,0.000050,0.000097
192.168.0.1,www.facebook.com,HTTP/1.0,55,0,366,2,0.000462,0.000050,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,55,35,3453,3,0.000502,0.000070,0.000114
192.168.0.1,www.facebook.com,HTTP/1.0,56,0,366,2,0.000467,0.000052,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,56,38,3453,2,0.000543,0.000063,0.000111
192.168.0.1,www.facebook.com,HTTP/1.0,57,0,366,2,0.000465,0.000052,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,57,38,3453,2,0.000443,0.000059,0.000112
192.168.0.1,www.facebook.com,HTTP/1.0,58,0,366,2,0.000453,0.000053,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,58,40,3453,2,0.000688,0.000085,0.000065
192.168.0.1,www.facebook.com,HTTP/1.0,59,0,366,2,0.000485,0.000085,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,59,37,3453,2,0.000471,0.000534,0.000106
192.168.0.1,www.facebook.com,HTTP/1.0,60,0,366,2,0.000430,0.000051,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,60,39,3453,2,0.000447,0.000049,0.000108
192.168.0.1,www.facebook.com,HTTP/1.0,61,0,366,1,0.000443,0.000049,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,61,37,3453,2,0.001895,0.000053,0.000087
192.168.0.1,www.facebook.com,HTTP/1.0,62,0,366,2,0.000480,0.000066,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,62,39,3453,2,0.000575,0.000072,0.000108
192.168.0.1,www.facebook.com,HTTP/1.0,63,0,366,2,0.000470,0.000060,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,63,37,3453,2,0.000439,0.000058,0.000106
192.168.0.1,www.facebook.com,HTTP/1.0,64,0,366,2,0.000448,0.000070,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,64,37,3453,2,0.000476,0.000054,0.000082
192.168.0.1,www.facebook.com,HTTP/1.0,65,0,366,2,0.000454,0.000062,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,65,39,3453,2,0.000484,0.000052,0.000072
192.168.0.1,www.facebook.com,HTTP/1.0,66,0,366,2,0.000406,0.000048,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,66,38,3453,2,0.000458,0.000053,0.000077
192.168.0.1,www.facebook.com,HTTP/1.0,67,0,366,2,0.000428,0.000052,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,67,39,3453,2,0.000457,0.000045,0.000127
192.168.0.1,www.facebook.com,HTTP/1.0,68,0,366,2,0.000475,0.000052,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,68,39,3453,2,0.000464,0.000050,0.000094
192.168.0.1,www.facebook.com,HTTP/1.0,69,0,366,2,0.000575,0.000041,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,69,38,3453,2,0.000470,0.000056,0.000087
192.168.0.1,www.facebook.com,HTTP/1.0,70,0,366,2,0.000400,0.000042,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,70,39,3453,2,0.000438,0.000059,0.000052
