source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.yahoo.com,HTTP/1.1,31,48,4612,2,0.000479,0.000054,0.000092
192.168.0.1,www.yahoo.com,HTTP/1.0,32,50,4593,2,0.000507,0.000102,0.000126
192.168.0.1,www.yahoo.com,HTTP/1.1,32,46,4612,2,0.000486,0.000059,0.000095
192.168.0.1,www.yahoo.com,HTTP/1.0,33,50,4593,3,0.000556,0.000069,0.000104
192.168.0.1,www.yahoo.com,HTTP/1.1,33,51,4612,3,0.000485,0.000060,0.000111
192.168.0.1,www.yahoo.com,HTTP/1.0,34,51,4593,2,0.000512,0.000052,0.000254
192.168.0.1,www.yahoo.com,HTTP/1.1,34,48,4612,2,0.000487,0.000038,0.000094
192.168.0.1,www.yahoo.com,HTTP/1.0,35,52,4593,4,0.000496,0.000363,0.000134
192.168.0.1,www.yahoo.com,HTTP/1.1,35,49,4612,3,0.000493,0.000052,0.000108
192.168.0.1,www.yahoo.com,HTTP/1.0,36,48,4593,2,0.000473,0.000052,0.000162
192.168.0.1,www.yahoo.com,HTTP/1.1,36,53,4612,2,0.000480,0.000042,0.000115
192.168.0.1,www.yahoo.com,HTTP/1.0,37,50,4593,2,0.000484,0.000075,0.000138
192.168.0.1,www.yahoo.com,HTTP/1.1,37,46,4612,2,0.000512,0.000049,0.000149
192.168.0.1,www.yahoo.com,HTTP/1.0,38,50,4593,2,0.000511,0.000050,0.000112
192.168.0.1,www.yahoo.com,HTTP/1.1,38,50,4612,2,0.000494,0.000054,0.000125
192.168.0.1,www.yahoo.com,HTTP/1.0,39,48,4593,3,0.000549,0.000050,0.000091
192.168.0.1,www.yahoo.com,HTTP/1.1,39,53,4612,2,0.000478,0.000057,0.000147
192.168.0.1,www.yahoo.com,HTTP/1.0,40,50,4593,2,0.000504,0.000048,0.000146
192.168.0.1,www.yahoo.com,HTTP/1.1,40,52,4612,2,0.000538,0.000066,0.000145
192.168.0.1,www.yahoo.com,HTTP/1.0,41,52,4593,3,0.000518,0.000060,0.000086
192.168.0.1,www.yahoo.com,HTTP/1.1,41,54,4612,2,0.000718,0.000074,0.000077
192.168.0.1,www.yahoo.com,HTTP/1.0,42,51,4597,2,0.000592,0.000045,0.000120
192.168.0.1,www.yahoo.com,HTTP/1.1,42,50,4616,4,0.000753,0.000065,0.000119
192.168.0.1,www.yahoo.com,HTTP/1.0,43,49,4597,2,0.000509,0.000048,0.000136
192.168.0.1,www.yahoo.com,HTTP/1.1,43,51,4616,3,0.000561,0.000078,0.000096
192.168.0.1,www.yahoo.com,HTTP/1.0,44,53,4597,2,0.000484,0.000074,0.000075
192.168.0.1,www.yahoo.com,HTTP/1.1,44,52,4616,2,0.000492,0.000057,0.000143
192.168.0.1,www.yahoo.com,HTTP/1.0,45,51,4597,2,0.000528,0.000047,0.000105
192.168.0.1,www.yahoo.com,HTTP/1.1,45,52,4616,2,0.000452,0.000059,0.000127
192.168.0.1,www.yahoo.com,HTTP/1.0,46,52,4597,3,0.000501,0.000048,0.000076
192.168.0.1,www.yahoo.com,HTTP/1.1,46,53,4616,2,0.000794,0.000060,0.000115
192.168.0.1,www.yahoo.com,HTTP/1.0,47,53,4597,2,0.000470,0.000052,0.000135
192.168.0.1,www.yahoo.com,HTTP/1.1,47,50,4616,4,0.000492,0.000058,0.000129
192.168.0.1,www.yahoo.com,HTTP/1.0,48,53,4597,2,0.000481,0.000114,0.000104
192.168.0.1,www.yahoo.com,HTTP/1.1,48,51,4616,2,0.000492,0.000084,0.000122
192.168.0.1,www.yahoo.com,HTTP/1.0,49,54,4597,3,0.000503,0.000047,0.000094
192.168.0.1,www.yahoo.com,HTTP/1.1,49,54,4616,2,0.000475,0.000110,0.000066
192.168.0.1,www.yahoo.com,HTTP/1.0,50,52,4597,3,0.000518,0.000037,0.000081
192.168.0.1,www.yahoo.com,HTTP/1.1,50,52,4616,3,0.000496,0.000053,0.000076
192.168.0.1,www.yahoo.com,HTTP/1.0,51,52,4597,2,0.000631,0.000048,0.000066
192.168.0.1,www.yahoo.com,HTTP/1.1,51,55,4616,2,0.000486,0.000053,0.000118
192.168.0.1,www.yahoo.com,HTTP/1.0,52,51,4597,2,0.000562,0.000062,0.000108
192.168.0.1,www.yahoo.com,HTTP/1.1,52,52,4616,2,0.000506,0.000057,0.000092
192.168.0.1,www.yahoo.com,HTTP/1.0,53,50,4597,3,0.000498,0.000049,0.000077
192.168.0.1,www.yahoo.com,HTTP/1.1,53,51,4616,2,0.000509,0.000061,0.000118
192.168.0.1,www.yahoo.com,HTTP/1.0,54,51,4597,2,0.000522,0.000051,0.000110
192.168.0.1,www.yahoo.com,HTTP/1.1,54,52,4616,2,0.000542,0.000054,0.000096
192.168.0.1,www.yahoo.com,HTTP/1.0,55,51,4597,3,0.000490,0.000096,0.000079
192.168.0.1,www.yahoo.com,HTTP/1.1,55,53,4616,2,0.000458,0.000054,0.000063
