source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.google.com,HTTP/1.0,33,273,48574,7,0.000438,0.000053,0.000979
192.168.0.1,www.google.com,HTTP/1.1,33,274,48886,13,0.000446,0.000377,0.001279
192.168.0.1,www.google.com,HTTP/1.0,34,273,48625,15,0.000501,0.000063,0.001209
192.168.0.1,www.google.com,HTTP/1.1,34,276,48845,11,0.000456,0.000075,0.001467
192.168.0.1,www.google.com,HTTP/1.0,35,279,48579,10,0.000441,0.000044,0.001228
192.168.0.1,www.google.com,HTTP/1.1,35,280,48906,13,0.000427,0.000280,0.000918
192.168.0.1,www.google.com,HTTP/1.0,36,281,48610,10,0.000411,0.000052,0.000878
192.168.0.1,www.google.com,HTTP/1.1,36,281,48873,12,0.000734,0.000047,0.002277
192.168.0.1,www.google.com,HTTP/1.0,37,278,48616,16,0.000439,0.000042,0.000901
192.168.0.1,www.google.com,HTTP/1.1,37,278,48902,12,0.000734,0.000053,0.001076
192.168.0.1,www.google.com,HTTP/1.0,38,277,48601,10,0.000401,0.000055,0.001033
192.168.0.1,www.google.com,HTTP/1.1,38,281,48848,20,0.000461,0.000050,0.001084
192.168.0.1,www.google.com,HTTP/1.0,39,273,48625,9,0.000462,0.000061,0.001118
192.168.0.1,www.google.com,HTTP/1.1,39,278,48783,8,0.000415,0.000048,0.001040
192.168.0.1,www.google.com,HTTP/1.0,40,272,48596,11,0.000429,0.000098,0.001013
192.168.0.1,www.google.com,HTTP/1.1,40,281,48841,16,0.000438,0.000066,0.000945
192.168.0.1,www.google.com,HTTP/1.0,41,273,48673,12,0.000405,0.000280,0.001040
192.168.0.1,www.google.com,HTTP/1.1,41,277,48829,13,0.000439,0.000043,0.000858
192.168.0.1,www.google.com,HTTP/1.0,42,279,48630,16,0.000431,0.000053,0.000889
192.168.0.1,www.google.com,HTTP/1.1,42,284,48855,12,0.000416,0.000058,0.000955
192.168.0.1,www.google.com,HTTP/1.0,43,279,48608,12,0.000433,0.000058,0.000844
192.168.0.1,www.google.com,HTTP/1.1,43,280,48850,10,0.000431,0.000057,0.001124
192.168.0.1,www.google.com,HTTP/1.0,44,284,49448,8,0.000457,0.000073,0.000827
192.168.0.1,www.google.com,HTTP/1.1,44,283,48859,10,0.000443,0.000054,0.000997
192.168.0.1,www.google.com,HTTP/1.0,45,286,48659,12,0.000412,0.000060,0.000956
192.168.0.1,www.google.com,HTTP/1.1,45,284,48934,14,0.000422,0.000052,0.000854
192.168.0.1,www.google.com,HTTP/1.0,46,281,48586,11,0.000452,0.000052,0.000772
192.168.0.1,www.google.com,HTTP/1.1,46,284,48882,12,0.000423,0.000056,0.001013
192.168.0.1,www.google.com,HTTP/1.0,47,283,48586,13,0.000430,0.000062,0.000794
192.168.0.1,www.google.com,HTTP/1.1,47,280,48885,13,0.000436,0.000052,0.000885
192.168.0.1,www.google.com,HTTP/1.0,48,277,48598,10,0.000409,0.000052,0.000714
192.168.0.1,www.google.com,HTTP/1.1,48,279,48882,13,0.000412,0.000063,0.001360
192.168.0.1,www.google.com,HTTP/1.0,49,283,48627,11,0.000428,0.000386,0.000725
192.168.0.1,www.google.com,HTTP/1.1,49,288,48846,12,0.000491,0.000058,0.000749
192.168.0.1,www.google.com,HTTP/1.0,50,286,48578,9,0.000411,0.000058,0.000823
192.168.0.1,www.google.com,HTTP/1.1,50,284,48872,12,0.000429,0.000041,0.000764
192.168.0.1,www.google.com,HTTP/1.0,51,286,48625,11,0.000465,0.000075,0.001008
192.168.0.1,www.google.com,HTTP/1.1,51,285,48851,14,0.000413,0.000047,0.000891
192.168.0.1,www.google.com,HTTP/1.0,52,279,48630,6,0.000425,0.000050,0.000887
192.168.0.1,www.google.com,HTTP/1.1,52,285,48870,6,0.000423,0.000057,0.001070
192.168.0.1,www.google.com,HTTP/1.0,53,286,48625,14,0.000496,0.000050,0.000804
192.168.0.1,www.google.com,HTTP/1.1,53,283,48890,10,0.000692,0.000050,0.000793
192.168.0.1,www.google.com,HTTP/1.0,54,283,48589,12,0.000487,0.000050,0.000796
192.168.0.1,www.google.com,HTTP/1.1,54,286,48888,16,0.000680,0.000050,0.000755
192.168.0.1,www.google.com,HTTP/1.0,55,284,48563,2,0.000666,0.000075,0.000697
192.168.0.1,www.google.com,HTTP/1.1,55,285,48846,2,0.000450,0.000291,0.000899
192.168.0.1,www.google.com,HTTP/1.0,56,282,48667,10,0.000461,0.000042,0.000739
192.168.0.1,www.google.com,HTTP/1.1,56,285,48855,12,0.000432,0.000052,0.000853
192.168.0.1,www.google.com,HTTP/1.0,57,284,48632,12,0.000432,0.000053,0.000717
192.168.0.1,www.google.com,HTTP/1.1,57,288,48838,13,0.000410,0.000058,0.000849
192.168.0.1,www.google.com,HTTP/1.0,58,288,48633,10,0.000436,0.000280,0.000988
192.168.0.1,www.google.com,HTTP/1.1,58,288,48840,14,0.000417,0.000044,0.000669
192.168.0.1,www.google.com,HTTP/1.0,59,286,48605,11,0.000467,0.000049,0.000644
